Ticker,Ex-Dividend Date,Dividend Amount
NYSEARCA:IEMG,11-06-2024,0.509
NYSEARCA:IEMG,17-12-2024,1.163
NYSEARCA:IXJ,11-06-2024,0.672
NYSEARCA:IXJ,17-12-2024,0.617
NYSEARCA:IXC,11-06-2024,0.898
NYSEARCA:IXC,17-12-2024,0.845
NYSEARCA:VTV,21-03-2024,1.006
NYSEARCA:VTV,27-06-2024,1.015
NYSEARCA:VTV,26-09-2024,0.914
NYSEARCA:VTV,23-12-2024,0.98
NYSEARCA:VOOV,22-03-2024,0.786
NYSEARCA:VOOV,28-06-2024,0.989
NYSEARCA:VOOV,27-09-2024,1.062
NYSEARCA:VOOV,23-12-2024,1.037
NASDAQ:UAE,11-06-2024,0.528
NASDAQ:UAE,17-12-2024,0.019
NYSE:CCI,14-03-2024,1.565
NYSE:CCI,14-06-2024,1.565
NYSE:CCI,13-09-2024,1.565
NYSE:CCI,13-12-2024,1.565
BATS:ICSH,01-02-2024,0.227
BATS:ICSH,01-03-2024,0.219
BATS:ICSH,01-04-2024,0.228
BATS:ICSH,01-05-2024,0.221
BATS:ICSH,03-06-2024,0.227
BATS:ICSH,01-07-2024,0.221
BATS:ICSH,01-08-2024,0.225
BATS:ICSH,03-09-2024,0.223
BATS:ICSH,01-10-2024,0.218
BATS:ICSH,01-11-2024,0.215
BATS:ICSH,02-12-2024,0.206
BATS:ICSH,18-12-2024,0.213
BATS:ICSH,03-02-2025,0.198
BATS:ICSH,03-03-2025,0.18
NASDAQ:IGSB,01-02-2024,0.152
NASDAQ:IGSB,01-03-2024,0.162
NASDAQ:IGSB,01-04-2024,0.165
NASDAQ:IGSB,01-05-2024,0.165
NASDAQ:IGSB,03-06-2024,0.174
NASDAQ:IGSB,01-07-2024,0.179
NASDAQ:IGSB,01-08-2024,0.176
NASDAQ:IGSB,03-09-2024,0.178
NASDAQ:IGSB,01-10-2024,0.178
NASDAQ:IGSB,01-11-2024,0.184
NASDAQ:IGSB,02-12-2024,0.184
NASDAQ:IGSB,18-12-2024,0.181
NASDAQ:IGSB,03-02-2025,0.187
NASDAQ:IGSB,03-03-2025,0.187
NYSE:RDY,30-07-2024,0.479
NASDAQ:GOOGL,10-06-2024,0.2
NASDAQ:GOOGL,09-09-2024,0.2
NASDAQ:GOOGL,09-12-2024,0.2
BATS:INDA,17-12-2024,0.399
BATS:IEFA,11-06-2024,1.31
BATS:IEFA,17-12-2024,1.13
NASDAQ:MSFT,14-02-2024,0.75
NASDAQ:MSFT,15-05-2024,0.75
NASDAQ:MSFT,15-08-2024,0.75
NASDAQ:MSFT,21-11-2024,0.83
NASDAQ:MSFT,20-02-2025,0.83
NASDAQ:QCOM,28-02-2024,0.8
NASDAQ:QCOM,30-05-2024,0.85
NASDAQ:QCOM,05-09-2024,0.85
NASDAQ:QCOM,05-12-2024,0.85
NASDAQ:QCOM,06-03-2025,0.85
TPE:2330,18-03-2024,3.49979
TPE:2330,13-06-2024,3.49979
TPE:2330,12-09-2024,4.000138
TPE:2330,12-12-2024,4
TPE:2454,04-01-2024,24.6
TPE:2454,04-07-2024,30.40531
TPE:2454,02-01-2025,29
NASDAQ:SHY,01-02-2024,0.242
NASDAQ:SHY,01-03-2024,0.24
NASDAQ:SHY,01-04-2024,0.27
NASDAQ:SHY,01-05-2024,0.262
NASDAQ:SHY,03-06-2024,0.262
NASDAQ:SHY,01-07-2024,0.27
NASDAQ:SHY,01-08-2024,0.272
NASDAQ:SHY,03-09-2024,0.288
NASDAQ:SHY,01-10-2024,0.273
NASDAQ:SHY,01-11-2024,0.283
NASDAQ:SHY,02-12-2024,0.265
NASDAQ:SHY,18-12-2024,0.28
NASDAQ:SHY,03-02-2025,0.273
NASDAQ:SHY,03-03-2025,0.253
NYSEARCA:IHE,21-03-2024,0.275
NYSEARCA:IHE,11-06-2024,0.294
NYSEARCA:IHE,25-09-2024,0.359
NYSEARCA:IHE,17-12-2024,0.211
NYSE:EXR,14-03-2024,1.62
NYSE:EXR,14-06-2024,1.62
NYSE:EXR,16-09-2024,1.62
NYSE:EXR,16-12-2024,1.62
NSE:HAL,20-02-2024,22
NSE:HAL,21-08-2024,13
NSE:HAL,18-02-2025,25
NSE:BEL,09-02-2024,0.7
NSE:BEL,22-03-2024,0.7
NSE:BEL,14-08-2024,0.8
NSE:GESHIP,12-02-2024,6.3
NSE:GESHIP,22-05-2024,10.8
NSE:GESHIP,13-08-2024,9
NSE:GESHIP,19-11-2024,7.2
NSE:GESHIP,03-02-2025,8.1
NASDAQ:FALN,01-02-2024,0.122
NASDAQ:FALN,01-03-2024,0.134
NASDAQ:FALN,01-04-2024,0.169
NASDAQ:FALN,01-05-2024,0.133
NASDAQ:FALN,03-06-2024,0.141
NASDAQ:FALN,01-07-2024,0.138
